Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Alfa,Greece,Athenian (Heineken),5,alfa-indoors;alfa-weiss;alfa,alfa-indoors,Ok hot-weather lager.
Fix Royale Weiss,Greece,Olympic,7,fix-royale;alfa-weiss;fix-dark;fix,fix-royale,Surprisingly good - nice banana flavour.
Alfa Weiss,Greece,Athenian (Heineken),7,alfa-weiss;alfa-indoors;alfa,alfa-weiss,"Inconsistent, but the best one was very nice indeed!"
Cuvee des Jonquilles,France,Au Baron (Bailleux),8,cuvee-des-jonquilles;la-rose-des-vents;spoum-des-talus,cuvee-des-jonquilles,Lives up to the hype - good!
Westvleteren XII,Belgium,Westvleteren Abdij St. Sixtus,10,westvleteren-xii;westvletern-xii,westvleteren-xii,"Dark, rich, complex, sublime."
Vedett Extra White,Belgium,Duvel Moortgat,7,vedett-extra-white;vedett-extra-blond;fantome-dark-white;vedett-ipa,vedett-extra-white,Light but decent wheat beer.
Affligem Dubbel,Belgium,Affligem (Heineken),8,affligem-blonde;affligem-tripel;arend-dubbel;petrus-dubbel-bruin;westmalle-dubbel,,"Rich, creamy taste. Good!"
Akerbeltz Ambrée,France,Akerbeltz,6,akerbeltz-ambree;akerbeltz-blanche;akerbeltz-blonde,akerbeltz-ambree,Pleasant amber. Artisanal taste.
Akerbeltz Blanche,France,Akerbeltz,6,akerbeltz-blanche;akerbeltz-ambree;akerbeltz-blonde;blanche-hermine (2);blanche-hermine;griffonne-blanche-harmonique,akerbeltz-blanche,Was very crisp and citrussy like grapefruit.
Akerbeltz Blonde,France,Akerbeltz,6,akerbeltz-blonde;akerbeltz-ambree;akerbeltz-blanche;coreff-blonde;drao-blonde;jenlain-blonde;kerblei-blonde;lancelot-blonde;sans-culottes-blonde-legere;sans-culottes-blonde;terenez-blonde,akerbeltz-blonde,A bit like the blanche. Pleasant also.
EKI,France,Pays Basque @ Meteor,6,,,"Drank after uphill walk, yet still tasted like a good quality lager."
Keler Lager,Spain,Damm,7,dia-lager;keler-18,keler-18,"Very crisp, refreshing. Pleasant taste."
Turia,Spain,Damm,6,turia,turia,"Clean, crisp, decent lager"
Ambar,Spain,La Zaragozana,6,ambar-1900;ambar,ambar,
Estrella Galicia,Spain,Hijos de Rivera,6,estrella,estrella,"Crisp, slightly creamy lager. Strong malt aftertaste."
San Fermin,Spain,San Fermin,6,san-miguel-...,,
Napar Pale Ale,Spain,Naparbier,7,,,
San Miguel,Spain,Carlsberg,6,san-miguel-...,san-miguel-...,Has more flavour than expected and a bit of character. In the heat after a walk was very pleasant.
1906 Reserva Especial,Spain,Hijos de Rivera,7,1906-red,1906-red,"Malty, rich taste. Like a darker, more sophisticated lager."
Marbel,Spain,Cerveza Marbel,0,marbel,marbel,Carried for  many miles since Pamplona in blazing sun. Tasted  bit wierd with solid sediment so may have been off!
Gary & Esti,Spain,GaragArt,7,gary-and-esti,gary-and-esti,Had some really interesting flavours here. Enjoyed even though drank out of an almost warm bottle. I'm very keen to try again chilled/draft.
Kiskale Brown Ale,Spain,Laugar,7,kiskale,kiskale,Very drinkable and well balanced with good malt character.
Mahou Clasica,Spain,Mahou (Grupo Mahou-San Miguel),5,mahou-clasica;mahou-original,mahou-clasica,"Average drinkable lager, nothing particularly bad. Will happily drink again in the sun."
La Socarrada,Spain,Cervesa Artisanal La Socarrada,7,la-socarrada,la-socarrada,"Fragrant, drinkable aromatic. Nice, mild flavour from the honey. Pleasant."
Mahou Cinq Estrellas,Spain,Mahou (Grupo Mahou-San Miguel),6,mahou-clasica;mahou-original,,Standard lager but with a bit more character than the standard Mahou. Highly drinkable.
San Miguel Selecta,Spain,San Miguel (Grupo Mahou-San Miguel),5,san-miguel-...,,Like San Miguel but richer. Ok but has a bitter malty taste which lets it down.
Marlen,Spain,La Zaragozana,6,marlen,marlen,"Pale lager, which I found to be refreshing and above average."
Ambar 1900 Pale Ale,Spain,La Zaragozana,6,ambar-1900;ambar,ambar-1900,"Crisp, refreshing, full-bodied. Above average by Spanish standards."
Dia Lager,Spain,Alhambra (Grupo Mahou-San Miguel),5,dia-lager,dia-lager,Cheap supermarket lager - was thirst quenching and better than I expected.
Cruzcampo,Spain,Cruzcampo (Heineken),4,cruzcampo,cruzcampo,Ordinary drinkable lager. Notably better on draft.
Tongerlo,Belgium,Haacht,7,tongerlo-brune,tongerlo-brune,Solid Belgian dubbel but not quite rubbing shoulders with the best Belgium has to offer.
Kasteel Donker,Belgium,Van Honsebrouck,7,kasteel-tripel,,"Rich, very strong and super sweet. Sweetest beer I've tasted. Great in small quantities."
Ambar Export,Spain,La Zaragozana,6,ambar-1900;ambar;amber-export,amber-export,Tastes like a lager on steroids. Quite drinkable and good.
Voll-Damm Doble Malta,Spain,Damm,7,,,Good quality malty-flavoured beer.
Brown/Jackie,Denmark,Mikkeller @ De Proefbrouwerij,7,,,"Coffee/ chocolate notes, very smooth and full-bodied, with healthy head. Very good."
Judas,Belgium,Alken-Maes (Heineken),8,judas,judas,"Solid blonde ale, lives up to the expectations of a typical Belgian blonde."
1906 Red Vintage,Spain,Hijos de Rivera,7,1906-red,1906-red,"Strong red ale, went down very well. Easily one of the best from Spain."
Stellae Session IPA,Spain,Compañia Cervecera Peregrina,7,stellae-ipa,stellae-ipa,"Surprisingly good, coming from Spain. Hoppy IPA full of character and a great example of what ""craft"" beer should be."
Camden vs Petrus Stout,England,Camden Town / Bavik-De Brabandere,8,camden-v-petrus;camden-various;samuel-smith-imperial-stout,camden-v-petrus,"Smooth, strong stout with a pleasant flavour. Very drinkable."
Mateo & Bernabé 21,Spain,Mateo & Bernabé,6,mateo-21;mateo-11;mateo-25;mateo-7,mateo-21,"A decent and refreshing weiss but like the others, seemingly more style over substance."
Sagres,Portugal,Sociedade Central de Cervejas e Bebidas (Heineken),5,sagres,sagres,"Drinkable, straightforward lager."
Cannabia,Czech Republic,Kronenbrauerei Wahl,4,,,Drinkable & refreshing with a slightly herbal taste. Overall was a bit anaemic and disappointing.
La Saint Malo,France,Les Brassins des Saint-Malo,4,la-saint-malo;la-port-malo;chat-malo;la-goudale;la-rose-des-vents,la-saint-malo,C'est bizarre! Tastes salty and sour - hard to know if it's supposed to be that way or is slightly off. Strangely drinkable though. I want to sample fresh on draught!
Renaissance Abundance,New Zealand,Renaissance,7,abundance,abundance,"Couldn't really taste cherries but it was very smooth with nice burnt, toasted flavours."
Jever Pilsner,Germany,Jever (Oetker Group),7,kaiser-pilsner,,"Crisp, clean pilsner. Pleasant flavour."
Padrino Porter,Spain,Edge Brewing Barcelona,8,padrino,padrino,Well-rounded and smooth porter. Impressive.
Samuel Smith Pale Ale,England,Samuel Smith,8,samuel-smith-pale;kernel-pale-ale;samuel-smith-imperial-stout;samuel-smith-nut-brown;samuel-smiths-wheat,samuel-smith-pale,Somehow surprised at the quality. Tasted organic and fresh with an excellent overall balance.
Mikkeller Berliner,Denmark,Mikkeller @ De Proefbrouwerij,8,mikkeller-milk-stout,,"Very crisp & refreshing, and low ABV. Very good."
Corsendonk Dubbel,Belgium,Corsendonk @ Du Bocq,7,arend-dubbel;corsendonk-christmas;corsendonk-pater;petrus-dubbel-bruin;westmalle-dubbel,,Decent dubbel with high carbonation.
Omer,Belgium,Omer Vander Ghinste (Bockor),0,omer,omer,
Modelo,Mexico,Grupo Modelo (Corona),0,modelo,modelo,
Milk Stout,England,Bristol Beer Factory,8,samuel-smith-imperial-stout,,"Smooth, rich."
Saison Voisin,Belgium,Des Géants (Des Légendes),7,saison-dupont-biologique;saison-dupont;silly-saison,,"Hoppy, dry saison."
Amuse Bouche,England,Wild Beer,3,,,"Bitter, harsh, fruity."
Dia De Los Muertos Pay the Ferryman Porter,Mexico,Cervecería Mexicana (Grupo Modelo),7,pay-the-ferryman;queen-of-the-night,pay-the-ferryman,"Coffee, fruity, slightly watery."
Stewart Pumpkin Ale,Scotland,Stewart,7,archerfield-golden-ale;pumpkin-king (2);pumpkin-king;shg-pale-ale,,
March of the Penguins,Scotland,Williams Bros.,7,colony-of-artists;the-cone;the-ridge-or-jarl;will-o-the-wisp,,"Smooth, coffee, creamy."
Schiehallion,Scotland,Harviestoun,7,schiehallion,schiehallion,"Crisp, hoppy, malty."
Archerfield IPA,Scotland,Archerfield Fine Ales,6,archerfield-dark;archerfield-golden-ale;knops-ipa,,Nice but not outstanding. There are better IPAs out there with more character.
Jarl,Scotland,Fyne Ales,7,the-ridge-or-jarl,the-ridge-or-jarl,Pale ale with rich malty character.
The Ridge,Scotland,Harviestoun,7,the-ridge-or-jarl;the-cone;will-o-the-wisp,the-ridge-or-jarl,"Great, slightly fruity taste."
Old Engine Oil,Scotland,Harviestoun,0,old-engine-oil,old-engine-oil,
Niblick Lager,Scotland,UNKNOWN,6,niblick,niblick,"Quite a refreshing, malty lager. Made for the Golf Inn?"
Cantillon Kriek,Belgium,Cantillon,7,kriek-boon;kriek-mariage-parfait;liefmans-kriek-brut;lindemans-kriek;timmermans-kriek,,"Highly carbonated; tart, sour taste, rich red colour. Took a little while, but I grew to really enjoy it."
Ceriux,Spain,Cervecera Artesana (Grupo Palacios Vinoteca),7,,,"Fresh, well carbonated. Slightly spiced flavour; overall a good flavour and a good beer. Want to try the others from this brewery."
Parking Beer C,Spain,Mateo & Bernabé,6,parking-c;parking-a,parking-c,"Citrusy, dry, hoppy beer, with potent smell and light, cloudy appearance. Quite good."
Er Boqueron,Spain,Cervesa Artesanal La Socarrada,7,er-boqueron,er-boqueron,"Good foam, cloudy with salt in the sediment. Pleasant light taste with the sea salt barely noticeable but there's definitely a hint there. Pretty enjoyable beer."
Apocalypse Now,France,Sainte Crucienne,7,apocalpse-now,apocalpse-now,"Strong brown beer, with rich caramel flavour. Bitter alcohol taste at the end but overall good."
Freshie,Australia,Nomad Brewing Co.,8,freshie,freshie,"No head, very flat yet very drinkable with a very agreeable flavour. Salt & pepper were very subtle. Really enjoyed it."
Figpucker,Scotland,,5,figpucker,figpucker,"A ""farmhouse ale"", with honey and figs. Interesting concept, with the ingredients subtly present in the flavour and a dominant malty tast - but poor balance."
Waitrose Belgian Blonde,Belgium,Waitrose @ Du Bocq,8,waitrose-belgian-blonde;achel-blonde;affligem-blonde;grimbergen-blonde;leffe-blonde;st-feuillien-blonde,waitrose-belgian-blonde,"Surprisingly good for a supermarket brand beer, but it is brewed in Belgium. Very fresh & crisp, with nice flavour. Good blonde!"
Dolina,Spain,Cerveza Dolina,6,,,"Fruity smell, this Spanish take on a Belgian dubbel has quite a nice rich taste, but it seems obvious that it's not quite as good as the real deal."
Lindemans Cassis,Belgium,Lindemans,9,lindemans-cassis;lindemans-apple;lindemans-kriek,lindemans-cassis,A perfect balance of sweetness/tartness make this rich fruit beer a real joy. Excellent flavour leaves you wanting more.
Beer & Skittles Lager,Scotland,UNKNOWN,6,bills-beer;shg-beer,,Decent lager.
Big Ben,England,Thwaites,6,big-ben,big-ben,Ok brown ale.. A bit too strong in the alcohol department to be a standout but otherwise not bad.
Faro Girardin,Belgium,Girardin,7,faro-girardin,faro-girardin,"Sweeti-sh, sour-ish, geuze-ish beer. Decent quality and enjoyable."
Lindemans Kriek,Belgium,Lindemans,7,lindemans-kriek;kriek-boon;kriek-mariage-parfait;liefmans-kriek-brut;lindemans-apple;lindemans-cassis;timmermans-kriek,lindemans-kriek,"Quite a sweet cheery beer. I preferred the cassis, but this one's still enjoyable - but tends towards tasting like fruit juice. "
Maredsous Brune,Belgium,Duvel Moortgat,8,maredsous-brune;achel-brune;moinette-brune;st-feuillien-brune;tongerlo-brune,maredsous-brune,"Fruity, rich brown beer, which hides its strength well. Sweet taste but overall a very enjoyable beer,"
Thornbridge Imperial Stout,England,Thornbridge / S:t Eriks,3,samuel-smith-imperial-stout;thornbridge-raspberry,thornbridge-raspberry,"Definitely a taste of raspberries and I can appreciate the intention, but what ruins this for me is the strong alcohol taste. I wish this was 3% weaker - such a shame as could be great. Simply didn't enjoy it. "
Colomba,France,Pietra,7,colomba,colomba,"Impeccably smooth & refreshing, this doesn't have a great deal of flavour but is pretty nice."
Virtus,Spain,Cervezas Virtus,7,virtus-trigo,virtus-trigo,"Fresh, well-carbonated wheat beer with a dry finish. Quite enjoyable. Good beer."
Beer Geek Breakfast,Denmark,Mikkeller @ Lervig Aktiebryggeri,7,beer-geek-breakfast,beer-geek-breakfast,Dark & heavy with a strong coffee taste. Wasn't sure at first but towards the end of the bottle started to enjoy more. Would indeed be nice at breakfast! Must try then.
Moretti La Rossa,Italy,Heineken,7,la-rossa,la-rossa,Nice malted beer. Good mouthfeel.
Staropramen,Czech Republic,Staropramen (MolsonCoors),6,,,Pleasant lager but doesn't stand out particularly.
Liefmans Cuvée Brut,Belgium,Liefmans (Duvel Moortgat),9,liefmans-kriek-brut;liefmans-goudenband,liefmans-kriek-brut,"Rich, dark cherry beer. Great balance, fruity and just very enjoyable. Lovely!"
Viru,Lithuania,A. Le Coq (Olvi),0,viru,viru,
Moinette Brune,Belgium,Dupont,9,moinette-brune;achel-brune;maredsous-brune;moinette-biologique;st-feuillien-brune;tongerlo-brune,moinette-brune,Dark beer with rich and complex flavour. Reminds me of Carolus Classic. Excellent.
Mea Culpa Blonde,Belgium,Van Steenberge,9,mea-culpa-blond;achel-blonde;affligem-blonde;grimbergen-blonde;leffe-blonde;st-feuillien-blonde;waitrose-belgian-blonde,mea-culpa-blond,"Herbal, peppery, spiced blond with a smooth and creamy texture, served in a funny glass. Very enjoyable indeed!"
St Feuillien Blonde,Belgium,St-Feuillien,8,st-feuillien-blonde;st-feuillien-brune;st-feuillien-noel;achel-blonde;affligem-blonde;grimbergen-blonde;leffe-blonde;st-bernardus-12;st-bernardus-triple;waitrose-belgian-blonde,st-feuillien-blonde,"Good, solid satisfying blonde with slightly peppery taste."
Arend Dubbel,Belgium,De Ryck,7,arend-dubbel;petrus-dubbel-bruin;westmalle-dubbel,arend-dubbel,"Wasn't sure at first; sweet and fruity but the flavour balance didn't seem great. A couple of glasses later and it convinced me that it was indeed an enjoyable beer, despite there being many superior ones out there."
Corsendonk Xmas,Belgium,Corsendonk @ Du Bocq,8,corsendonk-christmas;corsendonk-pater,corsendonk-christmas,"Very dark, rich, slightly spiced ale. Great winter warmer and good quality beer."
Jupiler,Belgium,Piedboeuf (AB InBev),6,jupiler,jupiler,"Mainstream lager, but not bad by world standards. Decent malty character and good texture.."
Efes Draft,Turkey,Anadolu Efes,3,efes-draft,efes-draft,"Tastes somehow incomplete, is a bit like fizzy water with a touch of honey. Not a good beer."
Wildcard Blonde,England,Wild Card,7,shoreditch-blonde;wildcard,wildcard,"Good quality blonde, a bit hoppy. Nice."
Sam Smith's Imperial Stout,England,Samuel Smith,8,samuel-smith-imperial-stout,samuel-smith-imperial-stout,"Bold, rich stout with chocolatey flavour. Smooth and with excellent balance, this is a very good imperial stout. "
Sam Smith's Nut Brown Ale,England,Samuel Smith,8,samuel-smith-nut-brown;kernel-pale-ale;newcastle-brown,samuel-smith-nut-brown,"Does what it says on the tin - it's brown in colour and tastes of nuts. An impressive creation, very nice indeed."
Stravaigin,Scotland,Williams Bros. / Stillwater Artisanal,7,stravaigin,stravaigin,"Fruity, herbal, light and refreshing. Very nice."
Morar Monster,Scotland,UNKNOWN,6,,,Very smooth and velvety with a nice malty flavour.
Traquair,Scotland,Traquair House,7,traquair-jacobite,traquair-jacobite,"Dark, strong ale with complex flavour, mainly liquorice. Quite a unique taste, decent."
Sharp's Pilsner,England,Sharps (MolsonCoors),7,sharps-pilsner,sharps-pilsner,"Very crisp, with complexity in the flavour, mainly dominated by citrus. Impressive."
Ola Dubh 18,Scotland,Harviestoun,8,ola-dubh-18;ola-dubh-12,ola-dubh-18,"Strong black ale, with the taste of the whisky obvious. Overall the balance is excellent; the beer has a nice rich sweetness to it, together with the malts providing a great depth."
X.XI,France,Lancelot,8,,,"A decent barley wine, with the alcohol strength well disguised. The taste is rich and deep, and it's well balanced. Very nice."
Sam Smith's Wheat,England,Samuel Smith,7,samuel-smiths-wheat,samuel-smiths-wheat,"A good wheat beer with typical flavours of banana etc. However, overshadowed by the quality of the German wheats. Still, a solid, refreshing effort."
Achel Blonde,Belgium,Trappistenabdij De Achelse Kluis,9,achel-blonde;achel-brune;affligem-blonde;grimbergen-blonde;leffe-blonde;st-feuillien-blonde;waitrose-belgian-blonde,achel-blonde,"Fruity, dry, hoppy blonde. Doesn't taste strong and has great balance. Great!"
St Bernardus Triple,Belgium,St. Bernardus,8,st-bernardus-triple;st-bernardus-12;st-feuillien-blonde;st-feuillien-brune;st-feuillien-noel,st-bernardus-triple,Great quality triple. Softer than the Achel but similar. Almost perfectly formed.
Ultramour,Belgium,Ecaussinnes,5,ultramour,ultramour,"Fruit beer with sweet candied smell. Taste was a bit strange, and reminded me of a sugar free raspberry yoghurt. Surely they didn't use sweetener?! Otherwise ok."
Stewart 80,Scotland,Stewart,6,caledonian-80,,"Very drinkable fruity, malty beer. Pleasant."
BrewDog Born To Die,Scotland,BrewDog,8,born-to-die-11-15;brewdog-milk-stout,born-to-die-11-15,"Very full on with the hops, but with a nice fruitiness rather than being overly bitter. Rich & complex, really packs a punch."
Nogne O Imperial Stout,Norway,Nøgne Ø (Hansa Borg),8,nogne-o-imperial-stout,nogne-o-imperial-stout,"Strong, rich imperial stout. The alcohol isn't overpowering as this beer is so well made, with a great balance and strong coffee notes."
Kriek Mariage Parfait (2014),Belgium,F. Boon,7,kriek-mariage-parfait;kriek-boon;liefmans-kriek-brut;lindemans-kriek;timmermans-kriek,kriek-mariage-parfait,"Crisp, tart & well-carbonated, barely tastes of alcohol despite the strength. Very refreshing, I feel I could enjoy this even more once I'm more accustomed to the style."
Framboise Boon (2013),Belgium,F. Boon,7,framboise-boon;kriek-boon;oud-beersel-framboise,framboise-boon,"Crisp & tart, with nice raspberry aroma and faintly sweet. Cordial-like but a good strength of ABV to make it interesting."
Kellerbier,Germany,Köstritzer Schwarzbierbrauerei (Bitburger),5,kohstritzer-kellerbier,kohstritzer-kellerbier,"Brown in colour, crisp/carbonated with subtle flavours. There's a slight hoppy bitterness there but otherwise a bit bland. Drinkable nonetheless."
St Feuillien Brune,Belgium,St Feuillien,8,st-feuillien-brune;st-feuillien-blonde;st-feuillien-noel;achel-brune;maredsous-brune;moinette-brune;st-bernardus-12;st-bernardus-triple;tongerlo-brune,st-feuillien-brune,"Solid brown beer; very smooth, slightly sweet with the alcohol barely noticeable."
Raspberry Dog Chew,Scotland,Fallen,8,raspberry-dog-chew;chew-chew;pavlovs-dog,raspberry-dog-chew,"Building upon the already very nice Chew Chew, this one has been enhanced with raspberries and is a more impressive beast. Fruity and thick, it's like a pudding in a glass and a very enjoyable one at that. It's 10% ABV is very well disguised by the rich, lovely flavour."
Chimay Triple/Cinq Cents,Belgium,Chimay,8,chimay-cinq-cents;chimay-doree,chimay-cinq-cents,Smooth & easy to drink with a yeasty/spiced taste and good amount of sediment in the bottle. Great beer.
St Feuillien Cuvée de Noel,Belgium,St Feuillien,8,st-feuillien-noel;st-feuillien-blonde;st-feuillien-brune;blanche-de-namur-rosee;blanche-de-namur;de-koninck;grimbergen-noel;noir-de-dottignies;pere-noel;st-bernardus-12;st-bernardus-triple,st-feuillien-noel,"Sadly lost a bit when I opened the bottle. Volatility aside, this is a great beer, with liquorice, treacle & spice flavours. Excellent balance and rich flavour."
I&G Rum Cask,Scotland,Innis & Gunn @ Wellpark,7,innis-gunn-rum,innis-gunn-rum,"I'm not a big rum fan but it definitely makes this an interesting beer with a rich, dark taste."
Betty & the Gardens,Scotland,Ayr,6,betty-gardens;the-cone;the-ridge-or-jarl;will-o-the-wisp,betty-gardens,"Standard hoppy blonde ale, with a good bitter hop character, which doesn't overwhelm."
Rabbie's Porter,Scotland,Ayr,7,porter-leith;rabbies-porter;top-out-porter,rabbies-porter,Decent porter with coffee flavour.
Top Out Winter 2015,Scotland,Top Out,8,top-out-winter-2015;top-out-porter (2);top-out-porter,top-out-winter-2015,"A very rich brew, smoky and fruity, with some sweetness. Tastes quite thick as well. Has a great complexity and balance. Excellent winter beer."
Pale Duke,Scotland,Drygate,6,shg-pale-ale;starlaw-pale,,"Big foamy head, well carbonated yet smooth pale ale, this had a very fresh, hop-dominated taste and was bitter - enjoyable, certainly not bland."
Affligem Tripel,Belgium,Affligem (Heineken),8,affligem-tripel;affligem-blonde;duvel-tripel-hop;kasteel-tripel;westmalle-tripel,affligem-tripel,"Fairly standard Belgian triple - in that it's of a high quality and very enjoyable, with the high ABV being well disguised."
Spoum,France,Artisanale Touken,7,spoum-des-talus,spoum-des-talus,"Blackberry beer. Not much carbonation but the smell and taste are rich in fruits. Good balance of flavour and a rich, enjoyable beer."
Duchesse Anne Triple Hops,France,Lancelot,7,duchesse-anne-triple-hops;duchesse-anne,duchesse-anne-triple-hops,Hoppy in a good way; not very bitter with fruity/floral aroma/taste and lots of sediment in the bottle. Very pleasant beer.
La Goudale,France,De Gayant (Saint-Omer),7,la-goudale;la-port-malo;la-rose-des-vents;la-saint-malo,la-goudale,"Fresh, sweetish, enjoyable beer. Didn't taste well due to man flu."
Hoegaarden Grand Cru,Belgium,Hoegaarden (AB InBev),8,hoegaarden-grand-cru;hoegaarden,hoegaarden-grand-cru,Like a triple but with added oomf; wheats flavours and great balance overall.
Brigantine,France,De La Côte de Jade,7,brigantine-brune,brigantine-brune,I recall this had a nice flavour and was surprisingly well-balanced for a French beer!
Super U Blonde,France,UNKNOWN,7,akerbeltz-blonde;coreff-blonde;drao-blonde;jenlain-blonde;kerblei-blonde;lancelot-blonde;sans-culottes-blonde-legere;sans-culottes-blonde;terenez-blonde,,"An enjoyable, smooth & very drinkable blonde. Another example of a supermarket brand beer surpassing expectations."
3 Monts,France,St. Sylvestre,8,3-monts,3-monts,"Good carbonation and foam presence. Strong, but with a great balance of hops & malt and has a great character, which is especially evident in the aftertaste. Excellent beer."
Jenlain Blonde,France,Duyck,7,jenlain-blonde;akerbeltz-blonde;coreff-blonde;drao-blonde;kerblei-blonde;lancelot-blonde;sans-culottes-blonde-legere;sans-culottes-blonde;terenez-blonde,jenlain-blonde,"Sweet and slightly bitter, citrus taste, like it's mixed with grapefruit juice. Lacking complexity but a solid tasting and good beer with assertive character."
Saint Colombe Ambrée,France,Sainte Colombe,5,la-saint-malo;sainte-colombe-ambree (2);sainte-colombe-ambree (3);sainte-colombe-ambree;sainte-colombe-doree;sainte-colombe-grand-cru;sainte-colombe-noel,sainte-colombe-ambree,Flat and toffee-coloured. Not impressive but it has a subtle caramel taste and is very drinkable.
Ours Pale Ale,France,De L'Ours,3,ours-doree;ours-noire,ours-doree,"Highly carbonated, this tastes a bit like the brewer chucked some water, malt, yeast etc into a bucket and hopes for the best. Just doesn't taste as if the ingredients are combined to make a cohesive whole. Has an aftertaste of - essentially - fizzy water."
Grimbergen Noel,Belgium,Kronenbourg (Carlsberg),7,grimbergen-noel;grimbergen-blonde;pere-noel;st-feuillien-noel,grimbergen-noel,"Sweet and slightly industrial tasting, this lacks the richness and character typically found in other Belgian Xmas beers. That said, still quite enjoyable and by no means bad."
Ours Stout,France,De L'Ours,3,ours-doree;ours-noire,ours-noire,"Again, the palate is dominated by carbonated water. Flavour seems to play second fiddle in what is not a good beer."
Pere Noel,Belgium,De Ranke,8,pere-noel;grimbergen-noel;st-feuillien-noel,pere-noel,"Yeasty, slightly sweet amber-coloured ale. Has an excellent balance and pleasant fizzy mouthfeel."
Queen of the Night,Mexico,,6,queen-of-the-night;pay-the-ferryman,queen-of-the-night,"Good balance of hops/malt, make for an interesting, subtle flavour."
Bière Ovalie,France,Duyck,6,ovalie,ovalie,"Crisp, refreshing, slightly sweet blonde beer. Good."
Ours Miel,France,De L'Ours,4,ours-doree;ours-noire,ours-doree,"Smelled like something from the medicine cabinet, didn't taste a lot better. Some subtle taste of honey but a bit overly carbonated. While poor, slightly better than the others."
Payesa,Spain,Payesa Cervecera S.L @ Cerveses La Gardènia,7,payesa,payesa,"Amber-coloured ale with a full-bodied rich flavour, with malts et al. Excellently balanced and very enjoyable."
Reissdorf Kolsch,Germany,Privat-Brauerei Heinrich Reissdorf,7,reissdorf-kolsch;fruh-kolsch,reissdorf-kolsch,Very pleasant; light & malty; the sort of beer you could drink several of in one sitting.
St Colombe Grand Cru,France,Sainte Colombe,7,sainte-colombe-grand-cru;sainte-colombe-ambree (2);sainte-colombe-ambree (3);sainte-colombe-ambree;sainte-colombe-doree;sainte-colombe-noel,sainte-colombe-grand-cru,Dark with no head. Rich chocolatey/nutty/liquorice flavour. Despite the 10% ABV this was pleasant to drink.
Oud Beersel Framboise,Belgium,Oud Beersel,7,oud-beersel-framboise;framboise-boon,oud-beersel-framboise,"Crisp and tart with pure red colour. Light, refreshing and barely sweet at all."
Fantome Dark White,Belgium,Fantome,8,fantome-dark-white;fantome-blanche;fantome-chocolat;vedett-extra-white,fantome-dark-white,"Obviously spicy; dominated by a peppery taste. The lasting impression is of bitterness. That said, it's packed with kick and character and feels great I'm the mouth, similar to other Fantome beers. A very enjoyable saison style beer with peppery edge."
Spaghetti Western,Italy,Brewfist / Prairie Artisan Ales,8,spaghetti-western,spaghetti-western,"Smooth, rich chocolate & coffee stout. Tastes very nice indeed, a bit like dessert in a glass."
Damh Ban,Scotland,Ayr,6,damh-ban,damh-ban,Hoppy but with a pleasant counterbalance of other ingredients.
Jolly Beggars,Scotland,Ayr,7,jolly-beggars,jolly-beggars,"Not as bitter as the name may suggest, and has a very good balance, with some fruity, as well as hoppy, elements."
Towzie Tyke,Scotland,Ayr,7,towzie-tyke,towzie-tyke,"Crisp and fresh on the palate, it's an enjoyable golden ale with character."
Plum Porter,England,Titanic,6,plum-porter,plum-porter,"Very fruity smell, but taste is more bitter and less sweet than that might suggest. Overall an enjoyable beer with hops and fruit combining to good effect."
Bill's,Scotland,Caledonian (Heineken),7,,,"Nice aroma, this is a very pleasant pale ale with good balance and a flavour that is never dull."
13 Guns,England,Thwaites,7,13-guns,13-guns,"Fruity aroma, and an interesting and complex flavour. Definitely tastes like a mix of different hops. Very enjoyable."
Dark Side of Wheat,Spain,Cervezas Virtus,6,dark-side-of-wheat,dark-side-of-wheat,"Brown, with nice fruity, caramel smell. To taste, although drinkable, it is a little watery and incomplete-tasting, but it does have a pleasant caramel and malt flavour. Ok."
Maibock,Canada,Les Trois Mousquetaires,7,maibock,maibock,"Cloudy amber, taste is malty and slightly sweet like honey. Quite strong alcohol but not unpleasant. Quite a good beer."
Nest Beer White Ale,Japan,Kiuchi Brewery (Hitachino),6,hitachino-white-ale,hitachino-white-ale,"Subtle and a bit flat, but quietly confident, like you might imagine a Japanese man of honour. Overall a pleasant, refreshing beer with a hint of orange and spice."
Carolus Christmas,Belgium,Het Anker,9,carolus-ambree;carolus-chirstmas;carolus-classic;corsendonk-christmas,carolus-chirstmas,"Very dark, rich, smooth. Liquorice, spices, Xmas pud. Sweet, but not too sweet. High ABV but extremely well hidden. Beautiful balance. Excellent."
Mikkeller Milk Stout,Denmark,Mikkeller @ De Proefbrouwerij,6,mikkeller-milk-stout,mikkeller-milk-stout,"Overall smooth and a decent stout, but for me there was something - a bitterness? - there that was a bit strong. Hence the balance was a bit of a let down."
Green Gold,Denmark,Mikkeller @ De Proefbrouwerij,7,green-gold,green-gold,Hoppy beer with strong amber colour and very carbonated. A mix of fruitiness and bitterness due to the hops. Full of character and very enjoyable.
De Koninck,Belgium,De Koninck (Duvel Moortgat),7,de-koninck;blanche-de-namur-rosee;blanche-de-namur;noir-de-dottignies,de-koninck,"By Belgian standards, a weak beer, but this is an amber pale ale of over 5%. Has a nice malty character with a bit of sweetness there too. Good beer, and I'm sure the reputed unpasteurised draft version would be well worth seeking out."
