Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Golf Inn,Scotland,,6,unknown-sun-inn;unknown2-sun-inn,,fruity/bitter/hoppy combo in a nicely balanced ale. Well made but not exciting.
Innis & Gunn Lager,Scotland,,6,innis-gunn-rum,,"decent, slight fruity lager. Very drinkable. Rather nice."
Leffe Brune,Belgium,,6,achel-brune;leffe-blonde;maredsous-brune;moinette-brune;st-feuillien-brune;tongerlo-brune,,"decent strong brown ale, but had a sweetish, slightly industrial taste which let it down slightly."
Alhambra Reserva,Spain,,6,,,"strong, mature-tasting lager-like beer. Sweetish malty taste; quite nice and drinkable."
Samuel Smith Lager,England,,6,samuel-smith-imperial-stout;samuel-smith-nut-brown;samuel-smith-pale;hells-lager;india-hells-lager;samuel-smiths-wheat,,"didn't taste of much but was very crisp, refreshing and fresh."
Samuel Smith IPA,England,,7,samuel-smith-imperial-stout;samuel-smith-nut-brown;samuel-smith-pale;hackney-ipa;samuel-smiths-wheat,,well rounded/balanced and of course hoppy. Very good.
Samuel Smith Extra Stout,England,,5,samuel-smith-imperial-stout;samuel-smith-nut-brown;samuel-smith-pale;samuel-smiths-wheat,,"the overall impression was bitterness which lingered in the mouth. Not keen to have it again, as, although it's not necessarily a bad beer per se, it was just a bit much for my taste."
Cauld Reekie,Scotland,,9,,,"rich, smooth stout with roasted flavour. Very well balanced, I'm very impressed - goes down an absolute treat."
First World Problems,Scotland,,7,,,good use of hops; quite a rich flavour. Has quite a strong bitter kick that my mouth adjusted to after a few glugs of the bottle. Overall seemed well rounded and full of character.
Contreras Mars,Belgium,,8,,,well balanced dubbel-like ale. Smooth with a rich satisfying taste.
Rochefort 6,Belgium,,9,rochefort-6;rochefort-8,,amber coloured with a rich initial head. Fantastic balance with a nutty/fruity flavour and richness to it. Great stuff.
Island Oyster,England,,6,,,stout-ish beer with a light taste and pleasant roasted malt flavour. Nice.
Maisel's Weisse,Germany,,8,,,a very well-rounded wheat beer with the typical flavours but a cut above most.
Rhubarbe de Saison,England,,0,,,annoyingly couldn't fully taste but it was cloudy and definitely had an obvious presence of rhubarb. Try it again!
Saison Cazeau,Belgium,,0,saison-dupont-biologique;saison-dupont;silly-saison,,couldn't fully taste but it was clear this is a quality saison. Must try again!
Epic Saison,England,,8,,,"despite man flu, got a good taste of this from 2 different tastings and was very impressed. Very moreish."
Troubadour Magma,Belgium,,8,,,rich strong IPA. Very good quality.
Housman Ale,England,,0,kernel-pale-ale,,
Beaverton Neck Oil,England,,0,,,
Maule Lucky IPA,England,,0,hackney-ipa,,
Castle Milk Stout,South Africa,,0,,,strong stuff; will need to try again to get the full flavour.
Torpedo,USA,,0,,,
Peckham Pils,England,,0,,,
Monteith IPA,New Zealand,,5,,,initial taste quite nice and fruity but overall it's unbalanced with too much weight on the bitterness.
Ghost Ship,England,,7,,,"light pale ale with fruity, cereal-like flavour. Very palatable and balanced."
Flensburger Pilsener,Germany,,7,,,"fresh, herbal, citrussy flavours. Quite bitter aftertaste but I found it very enjoyable."
I&G Wheat,Scotland,,7,,,Didn't taste like a standard wheat beer but pretty enjoyable stuff. Was it even wheat beer?
Three Hop,Scotland,,6,,,quite thick lager with cereal flavour that dominates. Sweet.
BFM 225 Saison - Rhubarb,Switzerland,,0,,,"slightly sour and full bodied, with obvious fruit presence. Must retry."
Cloudwater Keywoth's Mid Lager,England,,0,hells-lager;india-hells-lager,,
